ID,F1.1,F1.2,F1.3
100000000013,男,未知,60后
100000000111,未知,上海,未知
100000000127,未知,上海,未知
100000000231,男,北京,70后
100000000379,男,北京,未知
100000000393,女,北京,未知
100000000423,未知,河南,未知
100000000459,未知,北京,未知
100000000465,未知,北京,未知
100000000471,女,广东,未知
100000000637,未知,辽宁,未知
100000000695,未知,北京,未知
100000000745,未知,陕西,未知
100000000755,男,广东,未知
100000000867,女,上海,未知
100000000949,女,广东,未知
100000000975,未知,上海,未知
100000001023,男,北京,60后
100000001195,女,北京,未知
100000001231,未知,广东,80后
100000001295,男,北京,未知
100000001343,未知,上海,未知
100000001505,女,广东,未知
100000001557,未知,上海,未知
100000001683,未知,上海,未知
100000001711,女,北京,未知
100000001803,未知,浙江,未知
100000001955,未知,上海,未知
100000001963,未知,上海,未知
100000002111,未知,上海,未知
100000002165,未知,浙江,未知
100000002179,未知,北京,未知
100000002199,男,上海,未知
100000002215,未知,四川,未知
100000002243,未知,云南,未知
100000002245,未知,上海,未知
100000002271,未知,上海,未知
100000002307,未知,辽宁,未知
100000002363,未知,北京,未知
100000002371,未知,北京,未知
100000002535,女,北京,60后
100000002581,女,黑龙江,未知
100000002653,未知,安徽,未知
100000002811,未知,四川,未知
100000002873,未知,北京,未知
100000002879,男,广东,未知
100000003091,男,北京,未知
100000003097,男,北京,未知
100000003311,未知,上海,80后
100000003461,未知,广东,未知
100000003483,女,北京,未知
100000003559,女,北京,未知
100000003611,未知,江苏,未知
100000003639,未知,广东,未知
100000003685,女,北京,60后
100000003805,未知,北京,未知
100000003875,女,北京,未知
100000003891,未知,上海,未知
100000003941,男,浙江,未知
100000004163,女,浙江,未知
100000004223,未知,安徽,未知
100000004277,女,江苏,80后
100000004297,未知,重庆,未知
100000004303,男,未知,未知
100000004317,未知,北京,未知
100000004319,未知,上海,未知
100000004359,未知,上海,未知
100000004429,未知,天津,未知
100000004453,未知,江苏,未知
100000004529,未知,福建,未知
100000004867,未知,陕西,未知
100000005007,未知,广东,60后
100000005091,未知,江苏,未知
100000005125,未知,江苏,未知
100000005513,未知,上海,未知
100000005649,未知,上海,未知
100000005719,未知,北京,未知
100000005739,未知,广东,未知
100000005755,未知,江苏,未知
100000005805,男,未知,60后
100000005955,未知,江苏,未知
100000006005,女,上海,未知
100000006013,男,江苏,未知
100000006081,女,四川,未知
100000006123,未知,江苏,未知
100000006395,男,上海,未知
100000006487,未知,四川,未知
100000006539,未知,广东,未知
100000006569,未知,上海,未知
100000006605,女,四川,未知
100000006647,未知,上海,未知
100000006857,男,上海,未知
100000006933,未知,天津,未知
100000006981,未知,浙江,未知
100000007073,未知,北京,未知
100000007079,未知,北京,未知
100000007283,女,上海,未知
100000007329,未知,上海,未知
100000007367,未知,未知,未知
100000007409,未知,广东,80后
100000007457,未知,江苏,未知
100000007533,未知,上海,未知
100000007609,女,北京,未知
100000007639,未知,浙江,未知
100000007745,女,上海,80后
100000007753,女,上海,未知
100000007785,男,北京,未知
100000008119,女,上海,未知
100000008253,未知,上海,未知
100000008425,女,上海,未知
100000008481,女,上海,未知
100000008483,未知,北京,未知
100000008529,未知,四川,未知
100000008565,未知,上海,未知
100000008995,未知,广东,未知
100000009017,未知,上海,未知
100000009249,女,上海,未知
100000009417,未知,河南,未知
100000009463,男,上海,80后
100000009481,男,山东,60后
100000009491,女,广东,未知
100000009583,女,云南,未知
100000009611,未知,上海,未知
100000009743,未知,上海,70后
100000009771,未知,四川,未知
100000009773,未知,上海,未知
100000009807,男,福建,未知
100000009925,女,上海,未知
100000010101,女,北京,90后
100000010161,未知,北京,未知
100000010177,男,北京,未知
100000010199,未知,北京,未知
100000010239,男,河南,未知
100000010247,未知,北京,未知
100000010249,未知,上海,未知
100000010279,男,江苏,80后
100000010287,女,北京,未知
100000010293,女,北京,80后
100000010297,未知,浙江,未知
100000011105,未知,上海,未知
100000011131,女,北京,00后
100000011325,女,上海,70后
100000011427,未知,上海,未知
100000011573,未知,北京,未知
100000011591,未知,北京,未知
100000011653,未知,辽宁,未知
100000011741,男,江苏,80后
100000011755,女,上海,未知
100000011763,未知,湖北,未知
100000011845,未知,上海,未知
100000011933,未知,上海,未知
100000012027,女,上海,未知
100000012133,未知,山东,未知
100000012137,未知,北京,未知
100000012213,未知,上海,未知
100000012219,男,上海,未知
100000012235,女,浙江,未知
100000012277,未知,上海,未知
100000012341,未知,广东,未知
100000012367,女,浙江,未知
100000012405,男,四川,未知
100000012441,未知,江苏,未知
100000012507,男,四川,未知
100000012713,未知,福建,未知
100000012715,未知,上海,未知
100000012717,未知,上海,未知
100000012719,女,上海,60后
100000012793,未知,上海,未知
100000012867,男,贵州,80后
100000012885,女,江苏,未知
100000012889,未知,广东,未知
100000012931,未知,江苏,未知
100000012965,女,浙江,未知
100000012981,未知,北京,未知
100000013027,未知,北京,未知
100000013381,未知,天津,未知
100000013429,女,广东,未知
100000013461,未知,北京,未知
100000013471,男,四川,未知
100000013499,未知,广东,未知
100000013669,男,上海,未知
100000013673,未知,北京,未知
100000013837,未知,北京,未知
100000013965,男,重庆,未知
100000014029,女,上海,80后
100000014143,女,江苏,未知
100000014259,男,陕西,未知
100000014271,未知,广东,未知
100000014311,未知,河南,未知
100000014315,女,广东,未知
100000014383,未知,北京,未知
100000014421,未知,北京,未知
100000014423,未知,湖北,未知
100000014449,女,上海,未知
100000014641,未知,江苏,未知
100000014679,女,广东,60后
100000014745,女,重庆,未知
100000014865,未知,江苏,未知
100000014899,未知,上海,未知
100000014949,未知,上海,未知
100000014973,未知,北京,未知
100000014981,未知,北京,未知
100000015043,女,浙江,未知
100000015129,男,黑龙江,未知
100000015145,未知,北京,未知
100000015153,未知,上海,未知
100000015213,未知,上海,60后
100000015223,女,江苏,未知
100000015275,未知,上海,未知
100000015433,未知,湖北,未知
100000015475,未知,北京,未知
100000015747,未知,北京,未知
100000015791,未知,浙江,未知
100000015969,未知,上海,未知
100000016009,未知,上海,未知
100000016197,未知,上海,未知
100000016219,未知,浙江,未知
100000016265,女,北京,未知
100000016341,男,福建,未知
100000016351,未知,广东,未知
100000016391,未知,江苏,未知
100000016831,未知,北京,未知
100000016845,未知,湖南,未知
100000016861,未知,北京,未知
100000016987,未知,北京,未知
100000017177,未知,四川,未知
100000017277,未知,北京,未知
100000017281,未知,浙江,未知
100000017345,未知,北京,未知
100000017367,未知,浙江,未知
100000017465,未知,广东,未知
100000017469,未知,上海,未知
100000017505,男,浙江,70后
100000017691,未知,广东,未知
100000017693,未知,上海,未知
100000017965,未知,宁夏,未知
100000018097,女,重庆,未知
100000018117,未知,上海,未知
100000018123,男,北京,未知
100000018259,未知,天津,未知
100000018413,女,北京,80后
100000018417,未知,广东,未知
100000018629,未知,湖南,未知
100000018905,女,福建,60后
100000018941,男,广东,未知
100000018979,未知,重庆,未知
100000019251,未知,上海,未知
100000019375,未知,江苏,未知
100000019379,未知,重庆,未知
100000019487,男,北京,60后
100000019489,未知,四川,未知
100000019507,女,浙江,70后
100000019641,男,上海,未知
100000019697,女,上海,未知
100000019829,未知,重庆,未知
100000019999,未知,上海,未知
100000020007,未知,广东,未知
100000020017,未知,河南,未知
100000020019,未知,上海,未知
100000020061,未知,重庆,未知
100000020213,男,广东,未知
100000020277,男,广东,未知
100000020301,女,天津,未知
100000020393,未知,湖南,未知
100000020459,未知,广东,未知
100000020665,未知,北京,未知
100000020745,女,福建,未知
100000020809,男,河南,70后
100000020811,未知,河南,未知
100000020907,未知,上海,未知
100000020921,未知,上海,未知
100000020931,未知,江苏,未知
100000020995,女,北京,60后
100000021111,未知,上海,未知
100000021175,未知,广西,未知
100000021395,未知,上海,未知
100000021427,未知,上海,未知
100000021453,男,陕西,未知
100000021457,未知,四川,未知
100000021553,未知,上海,未知
100000021649,未知,浙江,未知
100000021659,未知,吉林,70后
100000021759,未知,上海,未知
100000021783,未知,江苏,未知
100000021809,未知,浙江,未知
100000021873,男,上海,未知
100000022129,未知,北京,未知
100000022335,未知,北京,未知
100000022357,未知,上海,未知
100000022389,女,辽宁,未知
100000022417,女,上海,未知
100000022481,女,四川,未知
100000022499,女,浙江,未知
100000022571,女,未知,未知
100000022651,男,浙江,未知
100000022677,未知,上海,未知
100000022761,未知,江西,未知
100000022773,未知,四川,未知
100000022801,男,北京,60后
100000022841,未知,上海,未知
100000022931,女,上海,80后
100000022963,男,甘肃,未知
100000023051,未知,北京,未知
100000023443,未知,北京,未知
100000023563,未知,北京,未知
100000023659,男,北京,未知
100000023915,男,上海,未知
110020371225,未知,上海,未知
110020471524,男,广东,70后
110020473123,女,四川,未知
110020671528,女,上海,未知
110020673328,未知,广东,未知
110020771524,未知,北京,未知
110020773124,未知,广东,未知
110100014168,男,上海,60后
110100014369,男,上海,90后
110100014466,男,广东,未知
110100014563,未知,上海,未知
110100016128,未知,北京,未知
110100016324,未知,北京,未知
110100016628,未知,未知,未知
110100016726,女,北京,未知
110100016828,未知,北京,未知
110100016928,未知,上海,未知
110100018268,女,未知,未知
110100018468,未知,北京,未知
110100018567,男,北京,未知
110100018764,未知,陕西,未知
110100033067,男,未知,未知
110100033863,未知,上海,未知
110100035569,女,新疆,70后
110100035669,未知,上海,未知
110100071228,未知,北京,未知
110100073229,女,上海,未知
110100073827,未知,广东,未知
110100116024,男,北京,未知
110100116027,女,广东,未知
110100116423,未知,广东,未知
110100116425,未知,江苏,未知
110100116429,未知,上海,未知
110100116920,男,北京,80后
