ID,F2.3.1,F2.3.2,F2.3.3,F2.3.4,F2.3.5,F2.3.6,F2.3.7,F2.3.8,F2.3.9,F2.3.10,F2.3.11,F2.3.12,F2.3.13,F2.3.14,F2.3.15,F2.3.16,F2.3.17,F2.3.18,F2.3.19,F2.3.20,F2.3.21,F2.3.22,F2.3.23,F2.3.24
100000000013,71.5,42.5,29.0,39.5,0.5,2.0,0.5,16.0,9.0,0.5,2.0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000000393,38.0,24.0,14.0,23.0,0.0,1.0,0.0,8.0,3.0,1.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA
100000000459,35.5,8.5,27.0,8.5,0.0,0.0,0.0,9.5,15.0,0.0,1.0,1.5,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000000637,41.0,14.0,27.0,14.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0
100000000695,31.0,13.0,18.0,4.0,3.0,1.0,5.0,10.0,4.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000000949,15.333333333333334,5.666666666666667,9.666666666666666,4.333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.6666666666666665,2.6666666666666665,1.3333333333333333,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000000975,57.0,27.0,30.0,17.0,5.0,3.0,2.0,18.0,9.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000001023,66.83333333333333,33.166666666666664,33.666666666666664,31.333333333333332,0.6666666666666666,0.8333333333333334,0.3333333333333333,18.666666666666668,11.666666666666666,1.0,1.8333333333333333,0.5,200.5,99.5,101.0,94.0,2.0,2.5,1.0,56.0,35.0,3.0,5.5,1.5
100000001231,35.0,15.0,20.0,15.0,0.0,0.0,0.0,16.0,3.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000001295,39.0,12.0,27.0,12.0,0.0,0.0,0.0,18.0,5.0,2.0,1.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
100000001505,16.2,5.2,11.0,2.6,1.4,1.0,0.2,3.8,3.4,1.4,1.2,1.2,20.25,6.5,13.75,3.25,1.75,1.25,0.25,4.75,4.25,1.75,1.5,1.5
100000001955,8.666666666666666,1.6666666666666667,7.0,1.3333333333333333,0.3333333333333333,0.0,0.0,2.0,1.6666666666666667,1.3333333333333333,1.0,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA
100000002371,12.25,4.75,7.5,4.75,0.0,0.0,0.0,3.5,2.5,0.25,1.0,0.25,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
100000003097,25.0,8.0,17.0,8.0,0.0,0.0,0.0,9.0,4.0,0.0,3.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000003461,42.0,31.0,11.0,9.0,11.0,5.0,6.0,7.0,3.0,0.0,1.0,0.0,42.0,31.0,11.0,9.0,11.0,5.0,6.0,7.0,3.0,0.0,1.0,0.0
100000003639,14.5,7.0,7.5,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.5,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA
100000003805,18.0,8.0,10.0,7.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,0.0
100000004277,123.0,44.0,79.0,42.0,2.0,0.0,0.0,56.0,21.0,1.0,1.0,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0
100000004297,28.0,6.0,22.0,6.0,0.0,0.0,0.0,12.0,6.0,0.0,4.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000004317,74.0,39.0,35.0,38.0,0.0,1.0,0.0,22.0,10.0,1.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA
100000005007,93.5,31.5,62.0,31.5,0.0,0.0,0.0,44.5,16.5,0.0,1.0,0.0,187.0,63.0,124.0,63.0,0.0,0.0,0.0,89.0,33.0,0.0,2.0,0.0
100000006981,18.0,6.666666666666667,11.333333333333334,6.666666666666667,0.0,0.0,0.0,5.666666666666667,2.6666666666666665,0.0,1.6666666666666667,1.3333333333333333,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
